"","DEGREE CENTRALITY","BETWEENNESS CENTRALITY","ClOSENESS CENTRALITY","EIGENVECTGOR CENTRALITY"
"1000000001",1,118,9.03972125838705e-08,0.0199196920414309
"1000000002",2,66,9.03972125838705e-08,0.0199275991958372
"1000000003",5,54,9.03700663253028e-08,0
"1000000004",1,51,9.03700663253028e-08,0.0199196920414309
"1000000005",1,48,9.03429282040232e-08,0.000396951639106142
"1000000006",1,40,9.03429282040232e-08,0
"1000000007",1,33,9.03429282040232e-08,0
"1000000008",1,33,9.03429282040232e-08,0.0199196920414309
"1000000009",1,28,9.03429282040232e-08,0.0199196920414309
"1000000010",1,27,9.03429282040232e-08,0
"1000000011",1,23,9.03429282040232e-08,0.0199196920414309
"1000000012",1,22,9.03429282040232e-08,0.0199196920414309
"1000000013",2,20,9.03429282040232e-08,0
"1000000014",2,20,9.03429282040232e-08,0
"1000000015",2,18,9.03157982200563e-08,0.0199276023358415
"1000000016",2,18,9.03157982200563e-08,0
"1000000017",3,18,9.03157982200563e-08,0
"1000000018",1,18,9.03157982200563e-08,0.0199196920414309
"1000000019",1,17,9.03157982200563e-08,0
"1000000020",2,16,9.03157982200563e-08,0.000397109272282679
"1000000021",2,16,9.03157982200563e-08,0
"1000000022",3,15,9.03157982200563e-08,0.0199355126302522
"1000000023",4,12,9.03157982200563e-08,0.0199434354984053
"1000000024",1,12,9.03157982200563e-08,0.0199196920414309
"1000000025",1,12,9.03157982200563e-08,0.000397109272282679
"1000000026",1,12,9.03157982200563e-08,0.0199196920414309
"1000000027",1,10,9.03157982200563e-08,0.0199196920414309
"1000000028",2,10,9.03157982200563e-08,0.0199275991958372
"1000000029",1,9,9.03157982200563e-08,0.000396951639106143
"1000000030",1,9,9.03157982200563e-08,0.0199196920414309
"1000000031",4,9,9.03157982200563e-08,0.0199434386446512
"1000000032",1,8,9.03157982200563e-08,0.0199196920414309
"1000000033",3,8,9.03157982200563e-08,0.000397582672991103
"1000000034",1,8,9.03157982200563e-08,0.000397267156048623
"1000000035",1,8,9.03157982200563e-08,0.0199196920414309
"1000000036",1,8,9.03157982200563e-08,0.0199196920414309
"1000000037",1,7,9.03157982200563e-08,0.000397267156048623
"1000000038",1,7,9.03157982200563e-08,0.0199196920414309
"1000000039",1,6,9.03157982200563e-08,0.0199196920414309
"1000000040",2,6,9.03157982200563e-08,0.00039726696808167
"1000000041",2,6,9.03157982200563e-08,0.0199275991958372
"1000000042",1,6,9.03157982200563e-08,0.0199196920414309
"1000000043",1,6,9.03157982200563e-08,0.0199196920414309
"1000000044",1,6,9.03157982200563e-08,0.0199196920414309
"1000000045",1,6,9.03157982200563e-08,7.91972440699128e-06
"1000000046",1,6,9.03157982200563e-08,0.000396951639106142
"1000000047",2,6,9.03157982200563e-08,0.0199275991958372
"1000000048",1,6,9.03157982200563e-08,0.0199196920414309
"1000000049",1,6,9.03157982200563e-08,0.0199196920414309
"1000000050",1,6,9.03157982200563e-08,0.0199196920414309
"1000000051",1,6,9.03157982200563e-08,0.0199196920414309
"1000000052",1,6,9.03157982200563e-08,0.0199196920414309
"1000000053",1,6,9.02886763734217e-08,0.000397109334880285
"1000000054",3,5,9.02886763734217e-08,0.0199355157727509
"1000000055",1,5,9.02886763734217e-08,0.0199196920414309
"1000000056",1,5,9.02886763734217e-08,0.0199196920414309
"1000000057",1,5,9.02886763734217e-08,0.0199196920414309
"1000000058",1,5,9.02886763734217e-08,0.0199196920414309
"1000000059",1,5,9.02886763734217e-08,7.9134356624193e-06
"1000000060",2,5,9.02886763734217e-08,0.00039726696808167
"1000000061",1,4,9.02886763734217e-08,0.000397109272282679
"1000000062",1,4,9.02886763734217e-08,0
"1000000063",1,4,9.02886763734217e-08,0.0199196920414309
"1000000064",1,4,9.02886763734217e-08,0.000396951639106143
"1000000065",1,4,9.02886763734217e-08,0.000396951639106142
"1000000066",1,4,9.02886763734217e-08,0.0199196920414309
"1000000067",1,4,9.02886763734217e-08,7.91972440699121e-06
"1000000068",2,4,9.02886763734217e-08,0.0199275991958372
"1000000069",1,4,9.02886763734217e-08,0.0199196920414309
"1000000070",1,4,9.02886763734217e-08,0.0199196920414309
"1000000071",1,4,9.02886763734217e-08,0.0199196920414309
"1000000072",1,4,9.02886763734217e-08,0.0199196920414309
"1000000073",1,4,9.02886763734217e-08,0.0199196920414309
"1000000074",1,4,9.02886763734217e-08,0.0199196920414309
"1000000075",1,4,9.02886763734217e-08,0.0199196920414309
"1000000076",1,4,9.02886763734217e-08,0.0199196920414309
"1000000077",1,4,9.02886763734217e-08,0.0199196920414309
"1000000078",1,4,9.02886763734217e-08,7.91029441066708e-06
"1000000079",1,4,9.02886763734217e-08,0.0199196920414309
"1000000080",1,4,9.02886763734217e-08,0.0199196920414309
"1000000081",1,4,9.02886763734217e-08,0.0199196920414309
"1000000082",1,4,9.02886763734217e-08,0.0199196920414309
"1000000083",1,4,9.02886763734217e-08,0.0199196920414309
"1000000084",1,4,9.02886763734217e-08,0.0199196920414309
"1000000085",1,4,9.02886763734217e-08,0.0199196920414309
"1000000086",1,3,9.02886763734217e-08,0.0199196920414309
"1000000087",1,3,9.02886763734217e-08,0.0199196920414309
"1000000088",1,3,9.02886763734217e-08,0.0199196920414309
"1000000089",1,3,9.02886763734217e-08,0.0199196920414309
"1000000090",1,3,9.02886763734217e-08,0.0199196920414309
"1000000091",1,3,9.02886763734217e-08,0.0199196920414309
"1000000092",1,3,9.02886763734217e-08,0.0199196920414309
"1000000093",1,3,9.02886763734217e-08,0.0199196920414309
"1000000094",1,3,9.02886763734217e-08,0.0199196920414309
"1000000095",1,3,9.02886763734217e-08,0.0199196920414309
"1000000096",1,3,9.02886763734217e-08,0.0199196920414309
"1000000097",1,3,9.02886763734217e-08,0.0199196920414309
"1000000098",1,3,9.02886763734217e-08,0.0199196920414309
"1000000099",1,3,9.02886763734217e-08,0.0199196920414309
"1000000100",3,3,9.02886763734217e-08,0.0199355157727509
"1000000101",1,3,9.02886763734217e-08,0.0199196920414309
"1000000102",1,3,9.02886763734217e-08,0.0199196920414309
"1000000103",1,3,9.02886763734217e-08,0.0199196920414309
"1000000104",1,3,9.02886763734217e-08,0.0199196920414309
"1000000105",1,3,9.02886763734217e-08,0.0199196920414309
"1000000106",1,3,9.02886763734217e-08,0.0199196920414309
"1000000107",1,3,9.02886763734217e-08,0.0199196920414309
"1000000108",2,3,9.02886763734217e-08,0.0199276023358415
"1000000109",1,3,9.02886763734217e-08,0.0199196920414309
"1000000110",1,3,9.02886763734217e-08,0.0199196920414309
"1000000111",3,3,9.02886763734217e-08,0.0199355126302522
"1000000112",1,3,9.02886763734217e-08,0.0199196920414309
"1000000113",1,3,9.02886763734217e-08,0.00039710927228268
"1000000114",2,3,9.02886763734217e-08,0.000397109272282679
"1000000115",2,3,9.02886763734217e-08,0.0199276023358415
"1000000116",2,3,9.02886763734217e-08,0.0199275991958372
"1000000117",1,3,9.02886763734217e-08,7.9134356624193e-06
"1000000118",1,3,9.02886763734217e-08,7.91029441066715e-06
"1000000119",1,3,9.02886763734217e-08,0.000397109272282679
"1000000120",5,3,9.02886763734217e-08,0.0199513583690582
"1000000121",1,3,9.02886763734217e-08,0.000397424914519863
"1000000122",1,3,9.02886763734217e-08,0.0199196920414309
"1000000123",1,3,9.02886763734217e-08,0.0199196920414309
"1000000124",3,3,9.02886763734217e-08,0.0199355126302522
"1000000125",19,3,9.02886763734217e-08,0.020063074452666
"1000000126",1,3,9.02886763734217e-08,0.000397424914519863
"1000000127",2,3,9.02886763734217e-08,0.000397109272282679
"1000000128",1,3,9.02886763734217e-08,0.000397424914519863
"1000000129",1,3,9.02886763734217e-08,0.000397424914519863
"1000000130",2,3,9.02886763734217e-08,0.000397266968081669
"1000000131",1,3,9.02886763734217e-08,0.0199196920414309
"1000000132",1,2,9.02886763734217e-08,0.0199196920414309
"1000000133",1,2,9.02886763734217e-08,0.0199196920414309
"1000000134",1,2,9.02886763734217e-08,7.9134356624193e-06
"1000000135",1,2,9.02886763734217e-08,0.0199196920414309
"1000000136",1,2,9.02886763734217e-08,0.0199196920414309
"1000000137",1,2,9.02886763734217e-08,0.0199196920414309
"1000000138",7,2,9.02886763734217e-08,0.019967396514335
"1000000139",1,2,9.02886763734217e-08,0.0199196920414309
"1000000140",2,2,9.02886763734217e-08,0.0199276023358415
"1000000141",1,2,9.02886763734217e-08,0.0199196920414309
"1000000142",1,2,9.02886763734217e-08,0.0199196920414309
"1000000143",1,2,9.02886763734217e-08,0.0199196920414309
"1000000144",2,2,9.02886763734217e-08,0.0199275991958372
"1000000145",1,2,9.02886763734217e-08,0.0199196920414309
"1000000146",1,2,9.02886763734217e-08,0.0199196920414309
"1000000147",1,2,9.02886763734217e-08,0.0199196920414309
"1000000148",1,2,9.02886763734217e-08,0.0199196920414309
"1000000149",1,2,9.02886763734217e-08,0.0199196920414309
"1000000150",1,2,9.02886763734217e-08,0.0199196920414309
"1000000151",2,2,9.02886763734217e-08,0.0199275991958372
"1000000152",1,2,9.02886763734217e-08,0.0199196920414309
"1000000153",1,2,9.02886763734217e-08,0.0199196920414309
"1000000154",1,2,9.02886763734217e-08,0.0199196920414309
"1000000155",1,2,9.02886763734217e-08,0.0199196920414309
"1000000156",1,2,9.02886763734217e-08,0.0199196920414309
"1000000157",1,2,9.02886763734217e-08,0.0199196920414309
"1000000158",1,2,9.02886763734217e-08,0.0199196920414309
"1000000159",1,2,9.02886763734217e-08,0.0199196920414309
"1000000160",1,2,9.02886763734217e-08,0.0199196920414309
"1000000161",1,2,9.02886763734217e-08,0.0199196920414309
"1000000162",1,2,9.02886763734217e-08,0.0199196920414309
"1000000163",1,2,9.02886763734217e-08,0.0199196920414309
"1000000164",2,2,9.02886763734217e-08,0.000397109272282679
"1000000165",1,2,9.02886763734217e-08,0.0199196920414309
"1000000166",1,2,9.02886763734217e-08,0.0199196920414309
"1000000167",1,2,9.02886763734217e-08,0.0199196920414309
"1000000168",1,2,9.02886763734217e-08,0.0199196920414309
"1000000169",1,2,9.02886763734217e-08,0.0199196920414309
"1000000170",1,2,9.02886763734217e-08,0.0199196920414309
"1000000171",1,2,9.02886763734217e-08,0.0199196920414309
"1000000172",1,2,9.02886763734217e-08,0.0199196920414309
"1000000173",1,2,9.02886763734217e-08,0.0199196920414309
"1000000174",1,2,9.02886763734217e-08,0.000397109272282679
"1000000175",1,2,9.02886763734217e-08,0.0199196920414309
"1000000176",1,2,9.02886763734217e-08,0.0199196920414309
"1000000177",1,2,9.02886763734217e-08,0.0199196920414309
"1000000178",1,2,9.02886763734217e-08,0.000397109334880285
"1000000179",1,2,9.02886763734217e-08,0.0199196920414309
"1000000180",1,2,9.02886763734217e-08,0.0199196920414309
"1000000181",1,2,9.02886763734217e-08,0.0199196920414309
"1000000182",1,2,9.02886763734217e-08,0.0199196920414309
"1000000183",1,2,9.02886763734217e-08,0.0199196920414309
"1000000184",1,2,9.02886763734217e-08,0.0199196920414309
"1000000185",1,2,9.02886763734217e-08,0.0199196920414309
"1000000186",1,2,9.02886763734217e-08,0.0199196920414309
"1000000187",1,2,9.02886763734217e-08,0.0199196920414309
"1000000188",1,2,9.02886763734217e-08,7.910294410667e-06
"1000000189",1,2,9.02886763734217e-08,0.000397109272282679
"1000000190",1,2,9.02886763734217e-08,0.0199196920414309
"1000000191",1,2,9.02886763734217e-08,0.000396951639106142
"1000000192",1,2,9.02886763734217e-08,0.0199196920414309
"1000000193",1,2,9.02886763734217e-08,0.0199196920414309
"1000000194",1,2,9.02886763734217e-08,0.0199196920414309
"1000000195",1,2,9.02886763734217e-08,0.0199196920414309
"1000000196",1,2,9.02886763734217e-08,0.0199196920414309
"1000000197",1,2,9.02886763734217e-08,0.0199196920414309
"1000000198",1,2,9.02886763734217e-08,0.0199196920414309
"1000000199",1,2,9.02886763734217e-08,0.0199196920414309
"1000000200",1,2,9.02886763734217e-08,0.0199196920414309
"1000000201",1,2,9.02886763734217e-08,0.0199196920414309
"1000000202",1,2,9.02886763734217e-08,0.0199196920414309
"1000000203",1,2,9.02886763734217e-08,0.0199196920414309
"1000000204",1,2,9.02886763734217e-08,0.0199196920414309
"1000000205",1,2,9.02886763734217e-08,0.0199196920414309
"1000000206",1,2,9.02886763734217e-08,0.0199196920414309
"1000000207",1,2,9.02886763734217e-08,0.0199196920414309
"1000000208",1,2,9.02886763734217e-08,0.0199196920414309
"1000000209",1,2,9.02886763734217e-08,0.0199196920414309
"1000000210",1,2,9.02886763734217e-08,0.0199196920414309
"1000000211",2,2,9.02886763734217e-08,0.0199275991958372
"1000000212",2,2,9.02886763734217e-08,0.0199275991958372
"1000000213",1,2,9.02886763734217e-08,0.0199196920414309
"1000000214",3,2,9.02886763734217e-08,0.0199355126302522
"1000000215",1,2,9.02886763734217e-08,0.0199196920414309
"1000000216",4,2,9.02886763734217e-08,0.0199434323521604
"1000000217",1,2,9.02886763734217e-08,0.0199196920414309
"1000000218",1,2,9.02886763734217e-08,0.0199196920414309
"1000000219",1,2,9.02886763734217e-08,0.0199196920414309
"1000000220",1,2,9.02886763734217e-08,0.0199196920414309
"1000000221",1,2,9.02886763734217e-08,7.91029441066715e-06
"1000000222",1,2,9.02886763734217e-08,0.0199196920414309
"1000000223",1,2,9.02886763734217e-08,0.0199196920414309
"1000000224",1,2,9.02886763734217e-08,0.000396951639106142
"1000000225",1,2,9.02886763734217e-08,0.000396951639106142
"1000000226",1,2,9.02886763734217e-08,0.0199196920414309
"1000000227",2,2,9.02886763734217e-08,0.0199275991958372
"1000000228",1,2,9.02886763734217e-08,0.0199196920414309
"1000000229",2,2,9.02886763734217e-08,0.0199275991958372
"1000000230",3,1,9.02886763734217e-08,0.0199355126302522
"1000000231",1,1,9.02886763734217e-08,0.0199196920414309
"1000000232",1,1,9.02886763734217e-08,0.00039710927228268
"1000000233",1,1,9.02886763734217e-08,0.00039710927228268
"1000000234",1,1,9.02886763734217e-08,0.0199196920414309
"1000000235",1,1,9.02886763734217e-08,0.0199196920414309
"1000000236",1,1,9.02886763734217e-08,0.0199196920414309
"1000000237",2,1,9.02886763734217e-08,0.0199275991958372
"1000000238",1,1,9.02886763734217e-08,0.0199196920414309
"1000000239",1,1,9.02886763734217e-08,0.0199196920414309
"1000000240",1,1,9.02886763734217e-08,0.0199196920414309
"1000000241",1,1,9.02886763734217e-08,0.0199196920414309
"1000000242",1,1,9.02886763734217e-08,0.000396951639106142
"1000000243",1,1,9.02886763734217e-08,0.0199196920414309
"1000000244",1,1,9.02886763734217e-08,0.0199196920414309
"1000000245",1,1,9.02886763734217e-08,0.0199196920414309
"1000000246",2,1,9.02886763734217e-08,0.0199276023358415
"1000000247",1,1,9.02886763734217e-08,0.0199196920414309
"1000000248",1,1,9.02886763734217e-08,0.0199196920414309
"1000000249",1,1,9.02886763734217e-08,0.0199196920414309
"1000000250",2,1,9.02886763734217e-08,0.000397109272282679
"1000000251",1,1,9.02886763734217e-08,0.0199196920414309
"1000000252",2,1,9.02886763734217e-08,0.0199275991958372
"1000000253",1,1,9.02886763734217e-08,0.0199196920414309
"1000000254",1,1,9.02886763734217e-08,0.0199196920414309
"1000000255",1,1,9.02886763734217e-08,0.0199196920414309
"1000000256",1,1,9.02886763734217e-08,0.0199196920414309
"1000000257",1,1,9.02886763734217e-08,0.0199196920414309
"1000000258",1,1,9.0261562664135e-08,0.0199196920414309
"1000000259",1,1,9.0261562664135e-08,0.0199196920414309
"1000000260",1,1,9.0261562664135e-08,0.0199196920414309
"1000000261",1,1,9.0261562664135e-08,0.0199196920414309
"1000000262",1,1,9.0261562664135e-08,0.0199196920414309
"1000000263",1,1,9.0261562664135e-08,7.91029441066708e-06
"1000000264",4,1,9.0261562664135e-08,0.0199434354971564
"1000000265",1,1,9.0261562664135e-08,0.0199196920414309
"1000000266",4,1,9.0261562664135e-08,0.0199434323521604
"1000000267",1,1,9.0261562664135e-08,0.0199196920414309
"1000000268",1,1,9.0261562664135e-08,0.0199196920414309
"1000000269",2,1,9.0261562664135e-08,0.0199275991958372
"1000000270",1,1,9.0261562664135e-08,0.0199196920414309
"1000000271",1,1,9.0261562664135e-08,0.0199196920414309
"1000000272",2,1,9.0261562664135e-08,0.0199275991958372
"1000000273",1,1,9.0261562664135e-08,0.0199196920414309
"1000000274",1,1,9.0261562664135e-08,0.0199196920414309
"1000000275",1,1,9.0261562664135e-08,0.0199196920414309
"1000000276",1,1,9.0261562664135e-08,0.0199196920414309
"1000000277",1,1,9.0261562664135e-08,0.0199196920414309
"1000000278",1,1,9.0261562664135e-08,0.0199196920414309
"1000000279",4,1,9.0261562664135e-08,0.0199434354971564
"1000000280",1,1,9.0261562664135e-08,0.0199196920414309
"1000000281",1,1,9.0261562664135e-08,0.0199196920414309
"1000000282",1,1,9.0261562664135e-08,0.0199196920414309
"1000000283",1,1,9.0261562664135e-08,0.0199196920414309
"1000000284",1,1,9.0261562664135e-08,0.000397267093351496
"1000000285",1,1,9.0261562664135e-08,0.0199196920414309
"1000000286",1,1,9.0261562664135e-08,0.0199196920414309
